Date,Stock
2010-11-11,34433.13281
2010-11-12,34274.39453
2010-11-15,33917.36328
2010-11-16,34234.75391
2010-11-17,34353.76172
2010-11-18,34274.39453
2010-11-19,35464.48047
2010-11-22,36456.27734
2010-11-23,36218.17578
2010-11-24,35305.83594
2010-11-25,35186.82422
2010-11-26,34115.74609
2010-11-29,34433.13281
2010-11-30,35186.82422
2010-12-01,35940.51953
2010-12-02,35940.51953
2010-12-03,35781.86328
2010-12-06,37606.63672
2010-12-07,37090.96484
2010-12-08,36733.94141
2010-12-09,37725.64063
2010-12-10,38281.05078
2010-12-13,38003.29688
2010-12-14,38043.03125
2010-12-15,37130.60547
2010-12-16,37011.59375
2010-12-17,37011.59375
2010-12-20,36376.90625
2010-12-21,37328.97656
2010-12-22,37209.96875
2010-12-23,36535.55859
2010-12-24,36456.27734
2010-12-27,36218.17578
2010-12-28,36495.92188
2010-12-29,37317.64453
2010-12-30,37599.40234
2011-01-03,38364.33594
2011-01-04,38203.24609
2011-01-05,38243.5625
2011-01-06,39974.56641
2011-01-07,41625.10938
2011-01-10,41383.57031
2011-01-11,43154.78906
2011-01-12,43235.33203
2011-01-13,43074.33984
2011-01-14,42671.71094
2011-01-17,42108.1875
2011-01-18,42591.26172
2011-01-19,42993.79688
2011-01-20,43476.87109
2011-01-21,42993.79688
2011-01-24,44765.10938
2011-01-25,44443.02734
2011-01-26,44926.10547
2011-01-27,46053.25781
2011-01-28,46133.79688
2011-01-31,45972.80078
2011-02-01,43315.87891
2011-02-07,43798.95313
2011-02-08,43718.41406
2011-02-09,43959.94531
2011-02-10,41947.10156
2011-02-11,40497.86719
2011-02-14,42027.64063
2011-02-15,41866.65234
2011-02-16,40497.86719
2011-02-17,38726.64063
2011-02-18,39652.48047
2011-02-21,38565.55078
2011-02-22,36432.02734
2011-02-23,35345.10547
2011-02-24,35787.94922
2011-02-25,37317.64453
2011-02-28,35828.17969
2011-03-02,35667.17969
2011-03-03,36874.78516
2011-03-04,38404.5625
2011-03-07,37438.39844
2011-03-08,37720.17188
2011-03-09,37881.25781
2011-03-10,38243.5625
2011-03-11,36713.78906
2011-03-14,36230.71094
2011-03-15,34539.94531
2011-03-16,35184.10547
2011-03-17,35667.17969
2011-03-18,37639.71875
2011-03-21,38042.25
2011-03-22,38847.41406
2011-03-23,37921.48438
2011-03-24,38968.17578
2011-03-25,39370.71484
2011-03-28,38887.64063
2011-03-29,39370.71484
2011-03-30,40095.33203
2011-03-31,40739.40234
2011-04-01,40819.94922
2011-04-04,39612.25
2011-04-05,40578.41016
2011-04-06,41625.10938
2011-04-07,41061.48438
2011-04-08,40256.32813
2011-04-11,40014.78906
2011-04-12,38807.09375
2011-04-13,39410.94531
2011-04-14,36633.24219
2011-04-15,37760.49219
2011-04-18,38807.09375
2011-04-19,38525.32422
2011-04-20,39088.94922
2011-04-21,39531.71484
2011-04-22,43959.94531
2011-04-25,43637.86719
2011-04-26,42349.71484
2011-04-27,41303.02734
2011-04-28,40819.94922
2011-04-29,39612.25
2011-05-02,40497.86719
2011-05-03,38927.86719
2011-05-04,39370.71484
2011-05-06,38485.10547
2011-05-09,38726.64063
2011-05-11,39330.48828
2011-05-12,38364.33594
2011-05-13,37800.71094
2011-05-16,36955.32813
2011-05-17,37035.87109
2011-05-18,38243.5625
2011-05-19,37277.41016
2011-05-20,37035.87109
2011-05-23,36109.94531
2011-05-24,35184.10547
2011-05-25,34217.95703
2011-05-26,35626.86328
2011-05-27,36150.25781
2011-05-30,36271.03125
2011-05-31,37840.94141
2011-06-01,37398.17578
2011-06-02,36633.24219
2011-06-03,36834.55859
2011-06-07,36190.48438
2011-06-08,35948.94141
2011-06-09,36109.94531
2011-06-10,35304.87891
2011-06-13,35385.32813
2011-06-14,36230.71094
2011-06-15,37760.49219
2011-06-16,37478.63672
2011-06-17,37961.70703
2011-06-20,37357.86328
2011-06-21,37317.64453
2011-06-22,37559.17969
2011-06-23,37599.40234
2011-06-24,38243.5625
2011-06-27,37398.17578
2011-06-28,37196.86719
2011-06-29,39048.63281
2011-06-30,39249.94922
2011-07-01,39612.25
2011-07-04,39813.56641
2011-07-05,40417.41016
2011-07-06,40658.95703
2011-07-07,40739.40234
2011-07-08,40578.41016
2011-07-11,40578.41016
2011-07-12,39773.25
2011-07-13,41383.57031
2011-07-14,41866.65234
2011-07-15,42269.18359
2011-07-18,42027.64063
2011-07-19,43074.33984
2011-07-20,42993.79688
2011-07-21,43074.33984
2011-07-22,43879.40625
2011-07-25,43154.78906
2011-07-26,42591.26172
2011-07-27,41947.10156
2011-07-28,42027.64063
2011-07-29,41625.10938
2011-08-01,42832.79688
2011-08-02,40055.11328
2011-08-03,39048.63281
2011-08-04,37599.40234
2011-08-05,35586.64453
2011-08-08,33453.01953
2011-08-09,33050.48828
2011-08-10,32647.94727
2011-08-11,32889.49219
2011-08-12,33090.71094
2011-08-16,33936.09766
2011-08-17,33895.86719
2011-08-18,32527.17578
2011-08-19,28783.33008
2011-08-22,26569.16602
2011-08-23,28139.16797
2011-08-24,28662.56055
2011-08-25,28662.56055
2011-08-26,30474.10352
2011-08-29,31722.02734
2011-08-30,31842.78711
2011-08-31,32325.86914
2011-09-01,32647.94727
2011-09-02,33010.25781
2011-09-05,30755.86719
2011-09-06,29628.7168
2011-09-07,30715.64063
2011-09-08,31118.17773
2011-09-09,30272.7832
2011-09-14,28944.32422
2011-09-15,28380.70508
2011-09-16,29829.93945
2011-09-19,29507.94727
2011-09-20,29870.25586
2011-09-21,30474.10352
2011-09-22,28984.55078
2011-09-23,26891.24609
2011-09-26,25200.47656
2011-09-27,26851.02148
2011-09-28,26408.16992
2011-09-29,27173.01172
2011-09-30,27213.32813
2011-10-04,26569.16602
2011-10-05,25281.01953
2011-10-06,26206.85742
2011-10-07,27776.86133
2011-10-10,27978.17383
2011-10-11,28179.48438
2011-10-12,28058.71289
2011-10-13,28783.33008
2011-10-14,28984.55078
2011-10-17,29668.94141
2011-10-18,28904.09961
2011-10-19,28461.24805
2011-10-20,27978.17383
2011-10-21,28702.78711
2011-10-24,29709.16992
2011-10-25,29789.71289
2011-10-26,30796.0918
2011-10-27,31883.01563
2011-10-28,31883.01563
2011-10-31,31883.01563
2011-11-01,31399.93555
2011-11-02,31319.48047
2011-11-03,30594.87305
2011-11-04,31279.17188
2011-11-07,32044.09375
2011-11-08,31883.01563
2011-11-09,31520.70898
2011-11-10,29548.17188
2011-11-11,30111.79102
2011-11-14,31762.24805
2011-11-15,31480.47852
2011-11-16,30836.40625
2011-11-17,31037.63477
2011-11-18,30192.24609
2011-11-21,29668.94141
2011-11-22,29588.39844
2011-11-23,28501.47656
2011-11-24,27656.08789
2011-11-25,27575.63672
2011-11-28,28058.71289
2011-11-29,29105.31836
2011-11-30,28501.47656
2011-12-01,30232.5625
2011-12-02,30554.55273
2011-12-05,30474.10352
2011-12-06,29709.16992
2011-12-07,29991.02344
2011-12-08,29668.94141
2011-12-09,28984.55078
2011-12-12,29507.94727
2011-12-13,28823.55664
2011-12-14,28702.78711
2011-12-15,27857.4043
2011-12-16,27897.62891
2011-12-19,26971.79102
2011-12-20,27052.24219
2011-12-21,27575.63672
2011-12-22,27454.86719
2011-12-23,27776.86133
2011-12-26,27575.63672
2011-12-27,27092.55664
2011-12-28,27299.29883
2011-12-29,27094.93359
2012-01-02,27013.25781
2012-01-03,27503.66602
2012-01-04,27421.90234
2012-01-05,27503.66602
2012-01-06,27054.0957
2012-01-09,26686.29102
2012-01-10,27217.53711
2012-01-11,27135.86133
2012-01-12,27953.14844
2012-01-13,28116.67773
2012-01-16,27912.3125
2012-01-17,28525.32227
2012-01-18,28770.52344
2012-01-19,29015.72656
2012-01-20,29260.93164
2012-01-25,28525.32227
2012-01-26,29587.90234
2012-01-27,29628.73633
2012-01-30,29383.53125
2012-01-31,29710.50391
2012-02-01,30977.35742
2012-02-02,31549.5293
2012-02-03,31712.97266
2012-02-06,30241.74805
2012-02-07,30364.34961
2012-02-08,30813.91602
2012-02-09,32203.38281
2012-02-10,31753.81055
2012-02-13,31794.72852
2012-02-14,31672.13281
2012-02-15,31222.56445
2012-02-16,30405.18555
2012-02-17,30241.74805
2012-02-20,30732.15039
2012-02-21,29914.77539
2012-02-22,29914.77539
2012-02-23,30119.14453
2012-02-24,30119.14453
2012-02-27,29751.33984
2012-02-28,29138.33008
2012-02-29,28893.125
2012-03-02,29506.13477
2012-03-05,28729.6875
