Date,High,Low,Open,Volume,Close
2010-02-16,40886.19922,39946.80078,39991.5,134658,35980.24609
2010-02-17,41154.60156,40394.10156,40930.89844,274285,36337.18359
2010-02-18,41109.89844,40349.39844,40975.60156,249923,35821.50391
2010-02-19,40438.89844,39141.60156,39902.10156,489146,35067.81641
2010-02-22,40349.39844,39678.39844,39857.30078,418761,35385.20313
2010-02-23,40259.89844,39007.39844,39633.69922,428730,34750.42969
2010-02-24,39902.10156,39096.89844,39186.30078,507228,34671.15234
2010-02-25,39588.89844,38023.30078,39544.19922,449563,33758.72266
2010-02-26,38560.10156,37799.60156,38425.89844,582111,33996.73438
2010-03-02,39007.39844,37486.5,38828.5,706530,33481.06641
2010-03-03,39231.10156,38068,38068,776576,34353.76172
2010-03-04,39096.89844,38202.19922,39052.10156,342177,34195.12109
2010-03-05,39231.10156,38739,38783.69922,320893,34790.16016
2010-03-08,38828.5,38023.30078,38649.5,1277331,34115.74609
2010-03-09,39052.10156,38291.69922,38694.30078,632581,34552.13672
2010-03-10,40081,38604.80078,39007.39844,703390,35305.83594
2010-03-11,40528.30078,39410,40349.39844,672921,34948.80859
2010-03-12,39991.5,39410,39767.89844,365351,35186.82422
2010-03-15,40081,38917.89844,39678.39844,380223,34552.13672
2010-03-16,39544.19922,38425.89844,39007.39844,701067,34909.16797
2010-03-17,39588.89844,38246.89844,39544.19922,1481573,34115.74609
2010-03-18,38560.10156,37889.10156,38336.39844,1093287,33639.71094
2010-03-19,38381.10156,37933.80078,38202.19922,474521,33758.72266
2010-03-22,38381.10156,37620.69922,37844.30078,458600,33401.69531
2010-03-23,38023.30078,36726,37844.30078,961047,32568.63672
2010-03-24,37397,36770.69922,37039.10156,554825,33005.02734
2010-03-25,37128.60156,36591.80078,37128.60156,375591,32767.01367
2010-03-26,38023.30078,36815.5,36949.69922,618765,33679.35156
2010-03-29,38157.5,37575.89844,37575.89844,382253,33481.06641
2010-03-30,38112.69922,37352.30078,38023.30078,424767,33243.04297
2010-03-31,37754.89844,36904.89844,37575.89844,374390,32727.2832
2010-04-01,37307.5,36636.5,37307.5,467115,32727.2832
2010-04-02,37083.89844,35741.89844,36994.39844,1057734,31894.22266
2010-04-05,36815.5,36010.30078,36233.89844,512861,32370.26172
2010-04-06,36770.69922,35652.39844,36770.69922,549825,31775.21289
2010-04-07,36726,35831.30078,35831.30078,492866,32449.62891
2010-04-08,36949.69922,36189.19922,36591.80078,417526,32767.01367
2010-04-09,37173.30078,35965.5,37128.60156,463382,32528.99609
2010-04-12,36860.19922,36099.69922,36681.30078,327923,32092.59961
2010-04-13,36860.19922,35920.80078,36099.69922,377355,32687.64258
2010-04-14,37933.80078,36949.69922,37307.5,991191,33639.71094
2010-04-15,38068,37128.60156,38068,572504,33282.6875
2010-04-16,37978.5,37307.5,37754.89844,490718,33322.32422
2010-04-19,37397,36368.10156,37039.10156,384429,32449.62891
2010-04-20,37039.10156,36412.89844,37039.10156,405627,32370.26172
2010-04-21,37710.10156,36502.30078,36547.10156,481030,33441.33594
2010-04-22,38023.30078,37262.80078,37352.30078,654290,33639.71094
2010-04-23,38962.69922,38023.30078,38157.5,1173369,34314.12109
2010-04-26,39231.10156,37933.80078,38962.69922,917215,33758.72266
2010-04-27,38157.5,37039.10156,38112.69922,924496,33005.02734
2010-04-28,36860.19922,36323.39844,36591.80078,905126,32290.97461
2010-04-29,37307.5,36412.89844,36726,566904,32330.61914
2010-04-30,37173.30078,36547.10156,36681.30078,445500,32806.64844
2010-05-03,36949.69922,36055,36770.69922,441458,32211.60742
2010-05-04,36815.5,35741.89844,36502.30078,522439,31775.21289
2010-05-06,34891.89844,33684.10156,34757.69922,1195253,30109.09375
2010-05-07,33728.89844,32252.69922,32476.30078,772780,29553.7793
2010-05-10,34399.89844,33549.89844,33773.60156,401500,30188.46094
2010-05-11,34578.80078,33684.10156,34534.10156,523115,29990.08398
2010-05-12,33997.30078,32878.89844,33818.30078,533921,29276.0293
2010-05-13,33907.80078,32700,33326.30078,486400,29038.01563
2010-05-14,33773.60156,32744.69922,32744.69922,479349,29752.06445
2010-05-17,33057.89844,32029,33057.89844,581925,28760.35938
2010-05-18,32923.69922,31984.30078,32610.5,399630,29117.38086
2010-05-19,32565.80078,31179.09961,32342.09961,893305,28046.30664
2010-05-20,32029,30597.5,31358,474921,27173.60547
2010-05-24,31089.59961,29747.59961,30418.59961,490826,26975.22852
2010-05-25,31044.90039,28629.30078,29792.30078,819352,25983.52148
2010-05-26,30016,28763.5,29702.90039,564542,25626.49414
2010-05-27,29658.09961,28763.5,28897.69922,617380,26102.52734
2010-05-28,30418.59961,29702.90039,29837.09961,730220,26737.21289
2010-05-31,31044.90039,30016,30105.5,347967,27332.25391
2010-06-01,30865.90039,30150.19922,30776.5,300454,27252.88477
2010-06-03,31313.30078,30821.19922,30910.69922,403702,27728.91992
2010-06-04,31313.30078,30597.5,31313.30078,273882,27292.61719
2010-06-07,30105.5,29434.5,29658.09961,483666,26340.54688
2010-06-08,30194.90039,29479.19922,29613.40039,312698,26697.57031
2010-06-09,32476.30078,30597.5,30687,1416966,28720.71875
2010-06-10,32923.69922,31939.5,32521.09961,751561,28919.00781
2010-06-11,33102.60156,32207.90039,33013.10156,510771,28919.00781
2010-06-14,33102.60156,32386.90039,32610.5,394757,29157.02539
2010-06-15,33728.89844,32923.69922,32923.69922,440844,29474.41016
2010-06-16,33684.10156,32968.39844,33505.19922,346969,29315.75977
2010-06-17,34399.89844,33326.30078,33371,677709,30505.84375
2010-06-18,34757.69922,33818.30078,34757.69922,321481,30386.83789
